Evaluation Metric,FID_InceptionV3,FID_CLIP,FID_SWAV
CIFAR100_Rot20deg,122.958,122.927,530.05
CIFAR100_Rot50deg,121.902,128.064,658.672
CIFAR100_Rot90deg,126.293,125.496,692.337
CIFAR100_RandomRot30deg,129.25,141.057,706.645
CIFAR100_HorizontalFlip,135.55,138.395,679.425
CIFAR100_VerticalFlip,139.632,141.643,689.819
CIFAR100_CirShift,145.797,145.517,602.637
CIFAR100_ZoomIN,147.573,136.231,560.022
CIFAR100_ZoomOut,157.816,142.19,547.767
CIFAR100_ColorJitter,163.01,138.41,571.67
CIFAR100_Gaussian_Blur,170.997,141.423,439.456
CIFAR100_RandomPrespective,164.699,146.855,445.011
CIFAR100_RandomRotation_Scale,168.391,150.411,470.47
CIFAR100_ElasticTransform,172.478,154.934,500.488
CIFAR100_RandomPosterize,176.601,153.688,454.363
CIFAR100_RandomAugmentation,178.245,157.282,463.76
CIFAR100_MixUp,211.218,166.44,472.491
CelebA_Rot20deg,128.658,151.513,384.422
CelebA_Rot50deg,132.187,152.763,410.383
CelebA_Rot90deg,135.126,155.555,423.13
CelebA_RandomRot30deg,139.06,160.299,423.201
CelebA_HorizontalFlip,142.05,159.034,434.073
CelebA_VerticalFlip,145.616,183.875,432.537
CelebA_CirShift,146.845,180.942,423.526
CelebA_ZoomIN,151.139,174.204,438.799
CelebA_ZoomOut,154.723,183.611,452.918
CelebA_ColorJitter,203.677,218.071,459.232
CelebA_Gaussian_Blur,180.114,206.758,468.767
CelebA_RandomPrespective,162.025,181.468,464.481
CelebA_RandomRotation_Scale,172.103,165.882,467.206
CelebA_ElasticTransform,1442.38,1392.898,1664.022
CelebA_RandomPosterize,168.959,175.591,485.689
CelebA_RandomAugmentation,174.023,180.132,501.04
CelebA_MixUp,181.592,178.967,511.86
