Evaluation Metric,FID_LLR
CIFAR100_CirShift,502.39
CIFAR100_ColorJitter,638.594
CIFAR100_ElasticTransform,622.146
CIFAR100_Gaussian_Blur,640.238
CIFAR100_HorizontalFlip,517.601
CIFAR100_RandomAugmentation,591.61
CIFAR100_RandomPosterize,676.38
CIFAR100_RandomPrespective,601.629
CIFAR100_RandomRot30deg,553.679
CIFAR100_RandomRotation_Scale,651.661
CIFAR100_Rot20deg,485.388
CIFAR100_Rot50deg,458.461
CIFAR100_Rot90deg,477.422
CIFAR100_VerticalFlip,501.656
CIFAR100_ZoomIN,520.516
CIFAR100_ZoomOut,525.204
