Evaluation Metric,FID_LLR1
CIFAR100_CirShift,529.03
CIFAR100_ColorJitter,542.474
CIFAR100_ElasticTransform,732.821
CIFAR100_Gaussian_Blur,565.372
CIFAR100_HorizontalFlip,551.434
CIFAR100_RandomAugmentation,790.117
CIFAR100_RandomPosterize,801.876
CIFAR100_RandomPrespective,579.482
CIFAR100_RandomRot30deg,513.834
CIFAR100_RandomRotation_Scale,604.051
CIFAR100_Rot20deg,499.601
CIFAR100_Rot50deg,497.098
CIFAR100_Rot90deg,506.482
CIFAR100_VerticalFlip,551.866
CIFAR100_ZoomIN,538.555
CIFAR100_ZoomOut,545.344
