Evaluation Metric,FID_LLR
CIFAR100_CirShift,1285.705
CIFAR100_ColorJitter,1370.055
CIFAR100_ElasticTransform,1076.291
CIFAR100_Gaussian_Blur,1492.881
CIFAR100_HorizontalFlip,1279.001
CIFAR100_RandomAugmentation,967.856
CIFAR100_RandomPosterize,960.217
CIFAR100_RandomPrespective,1530.458
CIFAR100_RandomRot30deg,1237.82
CIFAR100_RandomRotation_Scale,1527.152
CIFAR100_Rot20deg,1297.35
CIFAR100_Rot50deg,1311.573
CIFAR100_Rot90deg,1234.498
CIFAR100_VerticalFlip,1285.13
CIFAR100_ZoomIN,1304.376
CIFAR100_ZoomOut,1335.087
