Evaluation Metric,FID_LLR
CIFAR100_CirShift,1331.478
CIFAR100_ColorJitter,1347.263
CIFAR100_ElasticTransform,1496.818
CIFAR100_Gaussian_Blur,1332.153
CIFAR100_HorizontalFlip,1346.969
CIFAR100_RandomAugmentation,1543.204
CIFAR100_RandomPosterize,1571.876
CIFAR100_RandomPrespective,1363.397
CIFAR100_RandomRot30deg,968.348
CIFAR100_RandomRotation_Scale,1365.303
CIFAR100_Rot20deg,474.691
CIFAR100_Rot50deg,472.715
CIFAR100_Rot90deg,481.99
CIFAR100_VerticalFlip,1350.052
CIFAR100_ZoomIN,1331.294
CIFAR100_ZoomOut,1340.916
