Evaluation Metric,FID_LLR
CIFAR100_CirShift,19621.04
CIFAR100_ColorJitter,93446.332
CIFAR100_ElasticTransform,4343680.105
CIFAR100_Gaussian_Blur,9351.701
CIFAR100_HorizontalFlip,0.041
CIFAR100_RandomAugmentation,184737.793
CIFAR100_RandomPosterize,525124.686
CIFAR100_RandomPrespective,23718769.648
CIFAR100_RandomRot30deg,15078.892
CIFAR100_RandomRotation_Scale,53746349.36
CIFAR100_Rot20deg,35987.614
CIFAR100_Rot50deg,741113.413
CIFAR100_Rot90deg,101.584
CIFAR100_VerticalFlip,703.238
CIFAR100_ZoomIN,36071.031
CIFAR100_ZoomOut,7993.561
