Evaluation Metric,FID_LLR
CIFAR100_CirShift,720750.194
CIFAR100_ColorJitter,3394082.024
CIFAR100_ElasticTransform,160174852.716
CIFAR100_Gaussian_Blur,354577.361
CIFAR100_HorizontalFlip,1.126
CIFAR100_RandomAugmentation,6813851.765
CIFAR100_RandomPosterize,19399195.893
CIFAR100_RandomPrespective,880281939.215
CIFAR100_RandomRot30deg,563377.689
CIFAR100_RandomRotation_Scale,1991426260.531
CIFAR100_Rot20deg,1327692.457
CIFAR100_Rot50deg,27320512.449
CIFAR100_Rot90deg,3804.234
CIFAR100_VerticalFlip,25670.109
CIFAR100_ZoomIN,1320528.574
CIFAR100_ZoomOut,296397.13
