Evaluation Metric,FID_LLR
CIFAR100_CirShift,48634.209
CIFAR100_ColorJitter,190481.635
CIFAR100_ElasticTransform,9130135.279
CIFAR100_Gaussian_Blur,15822.102
CIFAR100_HorizontalFlip,1.084
CIFAR100_RandomAugmentation,415608.599
CIFAR100_RandomPosterize,1111348.875
CIFAR100_RandomPrespective,49811401.128
CIFAR100_RandomRot30deg,37285.523
CIFAR100_RandomRotation_Scale,114036626.742
CIFAR100_Rot20deg,87354.395
CIFAR100_Rot50deg,1559095.036
CIFAR100_Rot90deg,266.963
CIFAR100_VerticalFlip,1136.617
CIFAR100_ZoomIN,55134.948
CIFAR100_ZoomOut,17847.493
